bezeichner;typ;kapitel;platzierung;szenario;quelle;lauf_hash;dateien;titel
abb_3_1;Abbildung;3;Hauptteil;S1;describe.correlation;0800e49d75cee860;abb_3_1_0800e49d75cee860.pdf, abb_3_1_0800e49d75cee860.svg, abb_3_1_0800e49d75cee860.png, abb_3_1_0800e49d75cee860_beschriftung.txt;Korrelationsmatrix der Tagesrenditen
abb_3_2;Abbildung;3;Hauptteil;S1;rf_series;0800e49d75cee860;abb_3_2_0800e49d75cee860.pdf, abb_3_2_0800e49d75cee860.svg, abb_3_2_0800e49d75cee860.png, abb_3_2_0800e49d75cee860_beschriftung.txt;Verlauf des verketteten risikofreien Zinses
tab_3_1;Tabelle;3;Hauptteil;S1;describe.assets;0800e49d75cee860;tab_3_1_0800e49d75cee860.csv, tab_3_1_0800e49d75cee860.txt;Anlageuniversum und Datenverfügbarkeit
tab_3_2;Tabelle;3;Hauptteil;alle;backtest.sample + hashes;0800e49d75cee860;tab_3_2_0800e49d75cee860.csv, tab_3_2_0800e49d75cee860.txt;Sample-Designs und Reproduktionsanker
tab_3_3;Tabelle;3;Hauptteil;S1;describe.assets;0800e49d75cee860;tab_3_3_0800e49d75cee860.csv, tab_3_3_0800e49d75cee860.txt;Deskriptive Statistik der Einzelanlagen
tab_3_4;Tabelle;3;Hauptteil;S1;describe.rf.estr;0800e49d75cee860;tab_3_4_0800e49d75cee860.csv, tab_3_4_0800e49d75cee860.txt;Verketteter risikofreier Zins (€STR / EONIA)
abb_4_1;Abbildung;4;Hauptteil;S1;timeseries;0800e49d75cee860;abb_4_1_0800e49d75cee860.pdf, abb_4_1_0800e49d75cee860.svg, abb_4_1_0800e49d75cee860.png, abb_4_1_0800e49d75cee860_beschriftung.txt;Vermögensverlauf der Strategien
abb_4_10;Abbildung;4;Anhang;S1;analytics.distribution;0800e49d75cee860;abb_4_10_0800e49d75cee860.pdf, abb_4_10_0800e49d75cee860.svg, abb_4_10_0800e49d75cee860.png, abb_4_10_0800e49d75cee860_beschriftung.txt;Verteilung der Tagesrenditen mit CVaR-Markierung
abb_4_11;Abbildung;4;Anhang;S1;robustness.walk_forward.oos;0800e49d75cee860;abb_4_11_0800e49d75cee860.pdf, abb_4_11_0800e49d75cee860.svg, abb_4_11_0800e49d75cee860.png, abb_4_11_0800e49d75cee860_beschriftung.txt;Out-of-Sample-Vermögensverlauf aus dem Walk-Forward
abb_4_12;Abbildung;4;Anhang;S1;analytics.monthly;0800e49d75cee860;abb_4_12_0800e49d75cee860.pdf, abb_4_12_0800e49d75cee860.svg, abb_4_12_0800e49d75cee860.png, abb_4_12_0800e49d75cee860_beschriftung.txt;Monatsrenditen im Zeitraster
abb_4_13;Abbildung;4;Hauptteil;S1;analytics.correlation;0800e49d75cee860;abb_4_13_0800e49d75cee860.pdf, abb_4_13_0800e49d75cee860.svg, abb_4_13_0800e49d75cee860.png, abb_4_13_0800e49d75cee860_beschriftung.txt;Rollierende Korrelation der digitalen Assets zum Aktienindex
abb_4_2;Abbildung;4;Anhang;S1;timeseries;0800e49d75cee860;abb_4_2_0800e49d75cee860.pdf, abb_4_2_0800e49d75cee860.svg, abb_4_2_0800e49d75cee860.png, abb_4_2_0800e49d75cee860_beschriftung.txt;Investitionsquote der Vol-Control im Zeitverlauf
abb_4_3;Abbildung;4;Hauptteil;S1;sweep.points + sweep_bootstrap.bands;0800e49d75cee860;abb_4_3_0800e49d75cee860.pdf, abb_4_3_0800e49d75cee860.svg, abb_4_3_0800e49d75cee860.png, abb_4_3_0800e49d75cee860_beschriftung.txt;Risiko-Effekt über die Krypto-Quote mit Konfidenzbändern
abb_4_4;Abbildung;4;Anhang;S1;sweep.points + sweep_bootstrap.bands;0800e49d75cee860;abb_4_4_0800e49d75cee860.pdf, abb_4_4_0800e49d75cee860.svg, abb_4_4_0800e49d75cee860.png, abb_4_4_0800e49d75cee860_beschriftung.txt;Sharpe-Verläufe über die Krypto-Quote (brutto)
abb_4_5;Abbildung;4;Hauptteil;S1;sweep_bootstrap.argmax;0800e49d75cee860;abb_4_5_0800e49d75cee860.pdf, abb_4_5_0800e49d75cee860.svg, abb_4_5_0800e49d75cee860.png, abb_4_5_0800e49d75cee860_beschriftung.txt;Bootstrap-Verteilung der optimalen Krypto-Quote
abb_4_6;Abbildung;4;Anhang;S1;timeseries;0800e49d75cee860;abb_4_6_0800e49d75cee860.pdf, abb_4_6_0800e49d75cee860.svg, abb_4_6_0800e49d75cee860.png, abb_4_6_0800e49d75cee860_beschriftung.txt;Drawdown-Verläufe im Vergleich
