tab_4_9 — Sensitivität gegenüber der Zinsannahme
Szenario S1 / S1_rf3 · Lauf-Hash 0800e49d75cee860 · Quelle backtest.metrics + hypotheses.H1

Strategie              Kennzahl   €STR/EONIA verkettet      konstant 3 % p.a.  Differenz
----------------------------------------------------------------------------------------
Buy-and-Hold       Rendite p.a.                15,92 %                15,92 %     0,00 %
Buy-and-Hold               CAGR                15,63 %                15,63 %     0,00 %
Buy-and-Hold           Vol p.a.                16,62 %                16,62 %     0,00 %
Buy-and-Hold             Sharpe                 0,9040                 0,7770    -0,1270
Buy-and-Hold      Max. Drawdown               -27,14 %               -27,14 %     0,00 %
Buy-and-Hold          CVaR 95 %                -2,43 %                -2,43 %     0,00 %
Vol-Control 5 %    Rendite p.a.                 6,13 %                 7,55 %     1,42 %
Vol-Control 5 %            CAGR                 6,18 %                 7,69 %     1,51 %
Vol-Control 5 %        Vol p.a.                 5,25 %                 5,24 %    -0,01 %
Vol-Control 5 %          Sharpe                 1,0005                 0,8680    -0,1325
Vol-Control 5 %   Max. Drawdown                -9,97 %                -9,81 %     0,16 %
Vol-Control 5 %       CVaR 95 %                -0,75 %                -0,75 %     0,00 %
Vol-Control 10 %   Rendite p.a.                11,04 %                11,80 %     0,76 %
Vol-Control 10 %           CAGR                11,07 %                11,92 %     0,85 %
Vol-Control 10 %       Vol p.a.                10,37 %                10,37 %     0,00 %
Vol-Control 10 %         Sharpe                 0,9795                 0,8488    -0,1307
Vol-Control 10 %  Max. Drawdown               -18,67 %               -18,62 %     0,05 %
Vol-Control 10 %      CVaR 95 %                -1,49 %                -1,49 %     0,00 %
Vol-Control 15 %   Rendite p.a.                14,28 %                14,64 %     0,36 %
Vol-Control 15 %           CAGR                14,29 %                14,71 %     0,42 %
Vol-Control 15 %       Vol p.a.                13,54 %                13,54 %     0,00 %
Vol-Control 15 %         Sharpe                 0,9888                 0,8599    -0,1289
Vol-Control 15 %  Max. Drawdown               -23,55 %               -23,53 %     0,02 %
Vol-Control 15 %      CVaR 95 %                -1,96 %                -1,96 %     0,00 %
H1                ΔMax-Drawdown               8,4662 %               8,5257 %   0,0595 %
H1                       p-Wert                 0,0000                 0,0000     0,0000
H1                BCa-Intervall  [3,6536 %; 20,2189 %]  [2,9402 %; 17,6794 %]          —

Der Zins wirkt an zwei Stellen. In der RENDITEREIHE nur bei der Vol-Control, über die nicht investierte Quote — Buy-and-Hold ist dort unverändert. Im SHARPE bei allen Strategien, weil rf zugleich der Vergleichszins ist. Beides darf nicht vermischt werden.
